sequence       ,obj,  J&F,    J,    F
E3_S4_C1_P2_6  ,001, 98.6, 98.5, 98.7
E3_S5_C2_P0    ,001, 87.3, 92.6, 82.0
E3_S5_C2_P5    ,001, 99.3, 98.7, 99.8
E4_S6_C0_P2_12 ,001, 96.5, 95.7, 97.2
E4_S6_C0_P3    ,001, 99.5, 99.0, 100.0
E5_S7_C0_P13   ,001, 93.8, 96.6, 90.9
E5_S7_C0_P14   ,001, 82.5, 88.8, 76.1
E5_S8_C0_P1    ,001, 86.3, 95.3, 77.4
E5_S9_C1_P7    ,001, 94.6, 97.0, 92.2
E5_S9_C1_P16   ,001, 97.9, 97.9, 97.8
E5_S9_C1_P19   ,001, 90.1, 95.4, 84.9
E5_S10_C0_P8   ,001, 89.2, 94.2, 84.2
E5_S11_C2_P5   ,001, 95.5, 97.0, 93.9
E5_S11_C2_P10_1,001, 85.3, 92.9, 77.7
E5_S11_C2_P11  ,001, 70.3, 88.0, 52.7
E6_S12_T1_A1_4 ,001, 98.3, 98.5, 98.2
E6_S12_T1_A1_6 ,001, 84.9, 94.1, 75.7
E6_S12_T1_B2_3 ,001, 99.2, 98.4, 100.0
E6_S12_T1_B2_5 ,001, 99.3, 98.9, 99.7
E6_S14_C2_V4   ,001, 98.5, 98.9, 98.2
E6_S14_C2_V6_3 ,001, 98.5, 98.3, 98.7
E6_S14_C2_V7_1 ,001, 89.2, 96.3, 82.2
E6_S15_C3_V2_0 ,001, 99.1, 99.0, 99.3
E6_S15_C3_V2_1 ,001, 97.4, 98.3, 96.4
E6_S15_C3_V2_6 ,001, 90.3, 96.4, 84.3
Global score   ,   , 92.9, 96.2, 89.5
