sequence       ,obj,  J&F,    J,    F
E3_S4_C1_P2_6  ,001, 98.3, 98.8, 97.8
E3_S5_C2_P0    ,001, 49.2, 60.9, 37.4
E3_S5_C2_P5    ,001, 99.6, 99.4, 99.8
E4_S6_C0_P2_12 ,001, 97.2, 96.1, 98.2
E4_S6_C0_P3    ,001, 99.3, 98.5, 100.0
E5_S7_C0_P13   ,001, 86.9, 88.9, 84.9
E5_S7_C0_P14   ,001, 82.7, 89.5, 75.9
E5_S8_C0_P1    ,001, 73.0, 84.1, 61.8
E5_S9_C1_P7    ,001, 86.2, 95.3, 77.1
E5_S9_C1_P16   ,001, 79.3, 91.5, 67.1
E5_S9_C1_P19   ,001, 84.1, 93.3, 75.0
E5_S10_C0_P8   ,001, 86.8, 93.3, 80.3
E5_S11_C2_P5   ,001, 70.7, 85.7, 55.7
E5_S11_C2_P10_1,001, 35.8, 40.1, 31.5
E5_S11_C2_P11  ,001, 73.8, 87.8, 59.8
E6_S12_T1_A1_4 ,001, 94.0, 97.1, 90.9
E6_S12_T1_A1_6 ,001, 69.1, 77.6, 60.7
E6_S12_T1_B2_3 ,001, 99.4, 98.7, 100.0
E6_S12_T1_B2_5 ,001, 99.2, 99.0, 99.4
E6_S14_C2_V4   ,001, 95.4, 97.8, 93.1
E6_S14_C2_V6_3 ,001, 91.8, 94.9, 88.6
E6_S14_C2_V7_1 ,001, 83.1, 90.2, 76.0
E6_S15_C3_V2_0 ,001, 96.1, 98.0, 94.3
E6_S15_C3_V2_1 ,001, 94.7, 97.5, 91.8
E6_S15_C3_V2_6 ,001, 77.7, 92.0, 63.3
Global score   ,   , 84.1, 89.8, 78.4
